N,종목명,현재가,전일비,등략률,액면가,시가총액,상장주식주,외국인비율,거레량,PER,ROE
169,TIGER 단기통안채,"101,605",30,+0.03%,0,"14,677","14,445",5.38,"580,595",N/A,N/A,
170,에스엘,"31,500",-700,-2.17%,500,"14,631","46,449",16.28,"172,350",14.36,6.63,
171,JB금융지주,"7,410",50,+0.68%,"5,000","14,596","196,983",26.99,"297,041",2.66,12.80,
172,LX세미콘,"89,700","-1,000",-1.10%,500,"14,589","16,264",29.52,"203,335",4.13,44.49,
173,쌍용차,"8,760",0,0.00%,"5,000","14,578","166,414",26.89,0,-1.26,305.77,
174,DL이앤씨,"37,650",-200,-0.53%,"5,000","14,568","38,694",22.98,"144,563",3.09,N/A,
175,현대두산인프라코어,"7,180",-180,-2.45%,"1,000","14,199","197,763",10.44,"7,245,850",2.88,24.63,
176,TIGER 미국필라델피아반도체나스닥,"9,025",-175,-1.90%,0,"13,962","154,700",0.06,"720,125",N/A,N/A,
177,현대일렉트릭,"38,400",200,+0.52%,"5,000","13,842","36,047",12.52,"275,927",-28.98,-5.08,
178,현대백화점,"58,300","-1,000",-1.69%,"5,000","13,644","23,402",23.64,"59,380",6.38,4.36,
179,DL,"64,000",-600,-0.93%,"5,000","13,412","20,956",10.07,"34,279",8.62,26.52,
180,동원시스템즈,"46,200",-400,-0.86%,"5,000","13,394","28,991",13.28,"10,077",28.82,6.95,
181,롯데칠성,"143,500","3,500",+2.50%,500,"13,315","9,279",12.83,"34,319",8.76,9.96,
182,영풍,"720,000","-23,000",-3.10%,"5,000","13,263","1,842",3.84,"19,963",7.40,3.66,
183,TIGER 2차전지테마,"20,370",-190,-0.92%,0,"13,251","65,050",0.20,"911,255",N/A,N/A,
184,효성티앤씨,"305,500","3,500",+1.16%,"5,000","13,221","4,328",9.98,"29,492",2.70,76.22,
185,KODEX 2차전지산업,"22,200",-105,-0.47%,0,"13,187","59,400",0.24,"1,985,893",N/A,N/A,
186,코오롱인더,"45,750",-250,-0.54%,"5,000","12,590","27,519",17.64,"120,411",7.25,8.20,
187,일진하이솔루스,"34,550",100,+0.29%,500,"12,546","36,313",1.53,"138,539",140.45,4.97,
188,TIGER 미국테크TOP10 INDXX,"8,940",-155,-1.70%,0,"12,494","139,750",0.00,"941,881",N/A,N/A,
189,삼천리,"302,500","4,000",+1.34%,"5,000","12,266","4,055",13.80,"25,060",16.33,4.52,
190,롯데제과,"130,000","1,000",+0.78%,500,"12,265","9,435",14.53,"19,833",25.25,2.88,
191,솔루스첨단소재,"34,800",350,+1.02%,100,"12,219","35,111",5.24,"320,815",156.05,4.00,
192,후성,"12,950",-100,-0.77%,500,"11,993","92,607",7.26,"1,113,913",16.09,9.61,
193,한국앤컴퍼니,"12,450",0,0.00%,500,"11,819","94,935",9.19,"94,615",5.23,5.53,
194,동국제강,"12,300",0,0.00%,"5,000","11,738","95,433",23.63,"294,141",1.48,23.41,
195,한미반도체,"11,850",-250,-2.07%,100,"11,722","98,920",4.96,"191,651",10.39,34.59,
196,대덕전자,"23,550",-900,-3.68%,500,"11,638","49,417",20.08,"688,685",9.15,9.55,
197,대웅,"19,850",-500,-2.46%,500,"11,541","58,142",4.45,"52,353",10.24,11.13,
198,DGB금융지주,"6,790",-50,-0.73%,"5,000","11,485","169,146",44.21,"528,234",2.25,9.63,
199,TIGER MSCI Korea TR,"12,945",-185,-1.41%,0,"11,405","88,100",0.01,"1,623",N/A,N/A,
200,신풍제약,"21,500",-450,-2.05%,500,"11,392","52,985",6.07,"276,584",-50.83,-3.19,
